Match Date,Season,City,Team 1,Team 2,Toss Winner,Toss Decision,Dl applied,Result,Winner,Won by Runs,Won by Wickets,Player of the Match,Venue,Umpire 1,Umpire 2,Match Id
2023-05-29,2023,Ahmedabad,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,1,normal,Chennai Super Kings,0,5,DP Conway,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,RJ Tucker,2023-05-29_Gujarat Titans_Chennai Super Kings
2023-05-26,2023,Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,0,normal,Gujarat Titans,62,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,RJ Tucker,2023-05-26_Gujarat Titans_Mumbai Indians
2023-05-24,2023,Chennai,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,0,normal,Mumbai Indians,81,0,Akash Madhwal,"MA Chidambaram Stadium, Chepauk, Chennai",BNJ Oxenford,VK Sharma,2023-05-24_Mumbai Indians_Lucknow Super Giants
2023-05-23,2023,Chennai,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,0,normal,Chennai Super Kings,15,0,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",AK Chaudhary,CB Gaffaney,2023-05-23_Chennai Super Kings_Gujarat Titans
2023-05-21,2023,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,0,normal,Mumbai Indians,0,8,C Green,"Wankhede Stadium, Mumbai",KN Ananthapadmanabhan,RJ Tucker,2023-05-21_Sunrisers Hyderabad_Mumbai Indians
2023-05-21,2023,Bengaluru,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,0,normal,Gujarat Titans,0,6,Shubman Gill,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,VK Sharma,2023-05-21_Royal Challengers Bangalore_Gujarat Titans
2023-05-20,2023,Delhi,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,0,normal,Chennai Super Kings,77,0,RD Gaikwad,"Arun Jaitley Stadium, Delhi",CB Gaffaney,NA Patwardhan,2023-05-20_Chennai Super Kings_Delhi Capitals
2023-05-20,2023,Kolkata,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,0,normal,Lucknow Super Giants,1,0,N Pooran,"Eden Gardens, Kolkata",J Madanagopal,UV Gandhe,2023-05-20_Lucknow Super Giants_Kolkata Knight Riders
2023-05-19,2023,Dharamsala,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,0,normal,Rajasthan Royals,0,4,D Padikkal,"Himachal Pradesh Cricket Association Stadium, Dharamsala",A Nand Kishore,RJ Tucker,2023-05-19_Punjab Kings_Rajasthan Royals
2023-05-18,2023,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,normal,Royal Challengers Bangalore,0,8,V Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",BNJ Oxenford,VK Sharma,2023-05-18_Sunrisers Hyderabad_Royal Challengers Bangalore
